capture,camera_arm,depth_mode,method,repeat,formal,status,ok,reference_status,reference_corners,reference_rmse_px,center_mm,candidate_center_mm,delta_xyz_mm,center_distance_mm,delta_local_box_axes_mm,rotation_delta_deg,rotation_delta_sym180_deg,yaw_delta_sym180_deg,height_axis_angle_deg,opening_center_delta_mm,algorithm_seconds,fdp_client_seconds,container_wall_seconds,fast_path_seconds,fallback_seconds,fallback_total_seconds,fallback_triggered,rejection_reasons,fallback_reason,oom_killed,exit_code
L02_wrist_charuco_20260915_100236_358935353,left,raw,FDP,rep01,True,accepted,True,available,47,0.3802954852581024,"[778.9302624625609,-30.15925084944332,521.5077602459314]",,"[5.184102128596213,-3.9785152276855804,-16.267106976529888]",17.53060944983115,"[3.9281149523727614,5.625160221187612,-16.132258152206195]",179.64137603839794,0.5025172907219193,0.3680269575950206,0.35201089833522925,"[5.557320551418443,-4.39147496147552,-14.775729284646433]",1.023748338000587,1.2894229639987316,,,,,,[],,False,0
L02_wrist_charuco_20260915_100236_358935353,left,raw,FDP,rep02,True,accepted,True,available,47,0.3802954852581024,"[778.9302624625609,-30.15925084944332,521.5077602459314]",,"[5.184102128596213,-3.9785152276855804,-16.267106976529888]",17.53060944983115,"[3.9281149523727614,5.625160221187612,-16.132258152206195]",179.64137603839794,0.5025172907219193,0.3680269575950206,0.35201089833522925,"[5.557320551418443,-4.39147496147552,-14.775729284646433]",1.0126654880004935,1.2758593440012191,,,,,,[],,False,0
L02_wrist_charuco_20260915_100236_358935353,left,raw,FDP,rep03,True,accepted,True,available,47,0.3802954852581024,"[778.9302624625609,-30.15925084944332,521.5077602459314]",,"[5.184102128596213,-3.9785152276855804,-16.267106976529888]",17.53060944983115,"[3.9281149523727614,5.625160221187612,-16.132258152206195]",179.64137603839794,0.5025172907219193,0.3680269575950206,0.35201089833522925,"[5.557320551418443,-4.39147496147552,-14.775729284646433]",0.9205193519992463,1.183102091001274,,,,,,[],,False,0
L02_wrist_charuco_20260915_100236_358935353,left,raw,FDP,rep04,True,accepted,True,available,47,0.3802954852581024,"[778.9302624625609,-30.15925084944332,521.5077602459314]",,"[5.184102128596213,-3.9785152276855804,-16.267106976529888]",17.53060944983115,"[3.9281149523727614,5.625160221187612,-16.132258152206195]",179.64137603839794,0.5025172907219193,0.3680269575950206,0.35201089833522925,"[5.557320551418443,-4.39147496147552,-14.775729284646433]",1.003393152001081,1.26885677700011,,,,,,[],,False,0
L02_wrist_charuco_20260915_100236_358935353,left,raw,FDP,rep05,True,accepted,True,available,47,0.3802954852581024,"[778.9302624625609,-30.15925084944332,521.5077602459314]",,"[5.184102128596213,-3.9785152276855804,-16.267106976529888]",17.53060944983115,"[3.9281149523727614,5.625160221187612,-16.132258152206195]",179.64137603839794,0.5025172907219193,0.3680269575950206,0.35201089833522925,"[5.557320551418443,-4.39147496147552,-14.775729284646433]",1.0106966639996244,1.2741320279983483,,,,,,[],,False,0
L02_wrist_charuco_20260915_100236_358935353,left,raw,FDP,warmup,False,accepted,True,available,47,0.3802954852581024,"[778.9302624625609,-30.15925084944332,521.5077602459314]",,"[5.184102128596213,-3.9785152276855804,-16.267106976529888]",17.53060944983115,"[3.9281149523727614,5.625160221187612,-16.132258152206195]",179.64137603839794,0.5025172907219193,0.3680269575950206,0.35201089833522925,"[5.557320551418443,-4.39147496147552,-14.775729284646433]",1.017455045999668,1.2814645310008927,,,,,,[],,False,0
L03_00_wrist_charuco_20260915_104002_497962253,left,lingbot,FDP,rep01,True,accepted,True,available,65,0.36852946877479553,"[655.2394453871428,-12.78515631588617,539.4344342021691]",,"[4.047758642238941,-7.7914382863646106,-13.006658639493129]",15.692801839070983,"[7.754759142273907,4.38272794083856,-12.919730492632649]",179.45168539783717,1.997624110586944,0.4849853012487415,1.920884394201624,"[4.959956402977417,-4.983465445882192,-11.595873756313546]",0.9179420520013082,1.1821305499997834,,,,,,[],,False,0
L03_00_wrist_charuco_20260915_104002_497962253,left,lingbot,FDP,rep02,True,accepted,True,available,65,0.36852946877479553,"[655.2394453871428,-12.78515631588617,539.4344342021691]",,"[4.047758642238941,-7.7914382863646106,-13.006658639493129]",15.692801839070983,"[7.754759142273907,4.38272794083856,-12.919730492632649]",179.45168539783717,1.997624110586944,0.4849853012487415,1.920884394201624,"[4.959956402977417,-4.983465445882192,-11.595873756313546]",0.9385766809991765,1.2026813009997568,,,,,,[],,False,0
L03_00_wrist_charuco_20260915_104002_497962253,left,lingbot,FDP,rep03,True,accepted,True,available,65,0.36852946877479553,"[655.2394453871428,-12.78515631588617,539.4344342021691]",,"[4.047758642238941,-7.7914382863646106,-13.006658639493129]",15.692801839070983,"[7.754759142273907,4.38272794083856,-12.919730492632649]",179.45168539783717,1.997624110586944,0.4849853012487415,1.920884394201624,"[4.959956402977417,-4.983465445882192,-11.595873756313546]",0.9853726149995055,1.2467099850000523,,,,,,[],,False,0
L03_00_wrist_charuco_20260915_104002_497962253,left,lingbot,FDP,rep04,True,accepted,True,available,65,0.36852946877479553,"[655.2394453871428,-12.78515631588617,539.4344342021691]",,"[4.047758642238941,-7.7914382863646106,-13.006658639493129]",15.692801839070983,"[7.754759142273907,4.38272794083856,-12.919730492632649]",179.45168539783717,1.997624110586944,0.4849853012487415,1.920884394201624,"[4.959956402977417,-4.983465445882192,-11.595873756313546]",1.0254044360008265,1.2869268710001052,,,,,,[],,False,0
L03_00_wrist_charuco_20260915_104002_497962253,left,lingbot,FDP,rep05,True,accepted,True,available,65,0.36852946877479553,"[655.2394453871428,-12.78515631588617,539.4344342021691]",,"[4.047758642238941,-7.7914382863646106,-13.006658639493129]",15.692801839070983,"[7.754759142273907,4.38272794083856,-12.919730492632649]",179.45168539783717,1.997624110586944,0.4849853012487415,1.920884394201624,"[4.959956402977417,-4.983465445882192,-11.595873756313546]",1.0102260490002664,1.2713917140008562,,,,,,[],,False,0
L03_00_wrist_charuco_20260915_104002_497962253,left,lingbot,FDP,warmup,False,accepted,True,available,65,0.36852946877479553,"[655.2394453871428,-12.78515631588617,539.4344342021691]",,"[4.047758642238941,-7.7914382863646106,-13.006658639493129]",15.692801839070983,"[7.754759142273907,4.38272794083856,-12.919730492632649]",179.45168539783717,1.997624110586944,0.4849853012487415,1.920884394201624,"[4.959956402977417,-4.983465445882192,-11.595873756313546]",1.0113913950008282,1.2765850859996135,,,,,,[],,False,0
L03_00_wrist_charuco_20260915_104002_497962253,left,raw,FDP,rep01,True,accepted,True,available,65,0.36852946877479553,"[655.6680307145783,-10.007948458701454,537.3389767314723]",,"[4.476343969674446,-5.014230429179895,-15.102116110189968]",16.530398456704354,"[4.97038156236921,4.88974988797969,-14.987986065341685]",178.90002215921197,2.594462725192989,1.0213651744697358,2.349669414292683,"[6.7145141828269805,-2.1717787966934794,-13.75502407419904]",0.9990531260009448,1.2662201570001343,,,,,,[],,False,0
L03_00_wrist_charuco_20260915_104002_497962253,left,raw,FDP,rep02,True,accepted,True,available,65,0.36852946877479553,"[655.6680307145783,-10.007948458701454,537.3389767314723]",,"[4.476343969674446,-5.014230429179895,-15.102116110189968]",16.530398456704354,"[4.97038156236921,4.88974988797969,-14.987986065341685]",178.90002215921197,2.594462725192989,1.0213651744697358,2.349669414292683,"[6.7145141828269805,-2.1717787966934794,-13.75502407419904]",1.0059331800002838,1.2723071039999923,,,,,,[],,False,0
L03_00_wrist_charuco_20260915_104002_497962253,left,raw,FDP,rep03,True,accepted,True,available,65,0.36852946877479553,"[655.6680307145783,-10.007948458701454,537.3389767314723]",,"[4.476343969674446,-5.014230429179895,-15.102116110189968]",16.530398456704354,"[4.97038156236921,4.88974988797969,-14.987986065341685]",178.90002215921197,2.594462725192989,1.0213651744697358,2.349669414292683,"[6.7145141828269805,-2.1717787966934794,-13.75502407419904]",1.0175425119996362,1.2829293609993329,,,,,,[],,False,0
L03_00_wrist_charuco_20260915_104002_497962253,left,raw,FDP,rep04,True,accepted,True,available,65,0.36852946877479553,"[655.6680307145783,-10.007948458701454,537.3389767314723]",,"[4.476343969674446,-5.014230429179895,-15.102116110189968]",16.530398456704354,"[4.97038156236921,4.88974988797969,-14.987986065341685]",178.90002215921197,2.594462725192989,1.0213651744697358,2.349669414292683,"[6.7145141828269805,-2.1717787966934794,-13.75502407419904]",1.0039644749995205,1.2697138399998948,,,,,,[],,False,0
L03_00_wrist_charuco_20260915_104002_497962253,left,raw,FDP,rep05,True,accepted,True,available,65,0.36852946877479553,"[655.6680307145783,-10.007948458701454,537.3389767314723]",,"[4.476343969674446,-5.014230429179895,-15.102116110189968]",16.530398456704354,"[4.97038156236921,4.88974988797969,-14.987986065341685]",178.90002215921197,2.594462725192989,1.0213651744697358,2.349669414292683,"[6.7145141828269805,-2.1717787966934794,-13.75502407419904]",1.0247740220002015,1.2906983879984182,,,,,,[],,False,0
L03_00_wrist_charuco_20260915_104002_497962253,left,raw,FDP,warmup,False,accepted,True,available,65,0.36852946877479553,"[655.6680307145783,-10.007948458701454,537.3389767314723]",,"[4.476343969674446,-5.014230429179895,-15.102116110189968]",16.530398456704354,"[4.97038156236921,4.88974988797969,-14.987986065341685]",178.90002215921197,2.594462725192989,1.0213651744697358,2.349669414292683,"[6.7145141828269805,-2.1717787966934794,-13.75502407419904]",1.0116375380002864,1.298288717000105,,,,,,[],,False,0
L03_10_wrist_charuco_20260915_103928_398335507,left,lingbot,FDP,rep01,True,accepted,True,available,55,0.40626585483551025,"[656.4003646945315,-16.991470475544446,535.6940772185294]",,"[5.164776066228782,-12.144268481542042,-16.942391030230432]",21.475632297729856,"[12.090829508036771,5.622773062936244,-16.83446011838823]",179.54308855491706,2.670089841031498,0.36592141719268056,2.630691605016966,"[7.9126925601606946,-9.1693368209185,-15.63490230707143]",1.026482274000955,1.288057289999415,,,,,,[],,False,0
L03_10_wrist_charuco_20260915_103928_398335507,left,lingbot,FDP,rep02,True,accepted,True,available,55,0.40626585483551025,"[656.4003646945315,-16.991470475544446,535.6940772185294]",,"[5.164776066228782,-12.144268481542042,-16.942391030230432]",21.475632297729856,"[12.090829508036771,5.622773062936244,-16.83446011838823]",179.54308855491706,2.670089841031498,0.36592141719268056,2.630691605016966,"[7.9126925601606946,-9.1693368209185,-15.63490230707143]",1.0167841899983614,1.276670428998841,,,,,,[],,False,0
L03_10_wrist_charuco_20260915_103928_398335507,left,lingbot,FDP,rep03,True,accepted,True,available,55,0.40626585483551025,"[656.4003646945315,-16.991470475544446,535.6940772185294]",,"[5.164776066228782,-12.144268481542042,-16.942391030230432]",21.475632297729856,"[12.090829508036771,5.622773062936244,-16.83446011838823]",179.54308855491706,2.670089841031498,0.36592141719268056,2.630691605016966,"[7.9126925601606946,-9.1693368209185,-15.63490230707143]",1.029203113001131,1.288403422000556,,,,,,[],,False,0
L03_10_wrist_charuco_20260915_103928_398335507,left,lingbot,FDP,rep04,True,accepted,True,available,55,0.40626585483551025,"[656.4003646945315,-16.991470475544446,535.6940772185294]",,"[5.164776066228782,-12.144268481542042,-16.942391030230432]",21.475632297729856,"[12.090829508036771,5.622773062936244,-16.83446011838823]",179.54308855491706,2.670089841031498,0.36592141719268056,2.630691605016966,"[7.9126925601606946,-9.1693368209185,-15.63490230707143]",1.0293087709997053,1.2892827359992225,,,,,,[],,False,0
L03_10_wrist_charuco_20260915_103928_398335507,left,lingbot,FDP,rep05,True,accepted,True,available,55,0.40626585483551025,"[656.4003646945315,-16.991470475544446,535.6940772185294]",,"[5.164776066228782,-12.144268481542042,-16.942391030230432]",21.475632297729856,"[12.090829508036771,5.622773062936244,-16.83446011838823]",179.54308855491706,2.670089841031498,0.36592141719268056,2.630691605016966,"[7.9126925601606946,-9.1693368209185,-15.63490230707143]",1.0033926230007637,1.264336870999614,,,,,,[],,False,0
L03_10_wrist_charuco_20260915_103928_398335507,left,lingbot,FDP,warmup,False,accepted,True,available,55,0.40626585483551025,"[656.4003646945315,-16.991470475544446,535.6940772185294]",,"[5.164776066228782,-12.144268481542042,-16.942391030230432]",21.475632297729856,"[12.090829508036771,5.622773062936244,-16.83446011838823]",179.54308855491706,2.670089841031498,0.36592141719268056,2.630691605016966,"[7.9126925601606946,-9.1693368209185,-15.63490230707143]",1.0256635020014073,1.2857609380007489,,,,,,[],,False,0
L03_10_wrist_charuco_20260915_103928_398335507,left,raw,FDP,rep01,True,accepted,True,available,55,0.40626585483551025,"[654.5896720210078,-11.64046150093123,538.7080807998022]",,"[3.354083392705043,-6.793259506928829,-13.928387448957524]",15.855542471387606,"[6.744218342007103,3.749163142526444,-13.851264265330892]",179.82836392747134,2.0761651873095217,0.09981264892837771,2.0690569204076192,"[5.043039038250652,-4.089011658669614,-12.55125143825586]",1.0271681270005502,1.2902312019996316,,,,,,[],,False,0
L03_10_wrist_charuco_20260915_103928_398335507,left,raw,FDP,rep02,True,accepted,True,available,55,0.40626585483551025,"[654.5896720210078,-11.64046150093123,538.7080807998022]",,"[3.354083392705043,-6.793259506928829,-13.928387448957524]",15.855542471387606,"[6.744218342007103,3.749163142526444,-13.851264265330892]",179.82836392747134,2.0761651873095217,0.09981264892837771,2.0690569204076192,"[5.043039038250652,-4.089011658669614,-12.55125143825586]",1.0050398610001139,1.2691463660012232,,,,,,[],,False,0
L03_10_wrist_charuco_20260915_103928_398335507,left,raw,FDP,rep03,True,accepted,True,available,55,0.40626585483551025,"[654.5896720210078,-11.64046150093123,538.7080807998022]",,"[3.354083392705043,-6.793259506928829,-13.928387448957524]",15.855542471387606,"[6.744218342007103,3.749163142526444,-13.851264265330892]",179.82836392747134,2.0761651873095217,0.09981264892837771,2.0690569204076192,"[5.043039038250652,-4.089011658669614,-12.55125143825586]",1.018560009999419,1.28697036199992,,,,,,[],,False,0
L03_10_wrist_charuco_20260915_103928_398335507,left,raw,FDP,rep04,True,accepted,True,available,55,0.40626585483551025,"[654.5896720210078,-11.64046150093123,538.7080807998022]",,"[3.354083392705043,-6.793259506928829,-13.928387448957524]",15.855542471387606,"[6.744218342007103,3.749163142526444,-13.851264265330892]",179.82836392747134,2.0761651873095217,0.09981264892837771,2.0690569204076192,"[5.043039038250652,-4.089011658669614,-12.55125143825586]",1.0106945119987358,1.2759885380000924,,,,,,[],,False,0
L03_10_wrist_charuco_20260915_103928_398335507,left,raw,FDP,rep05,True,accepted,True,available,55,0.40626585483551025,"[654.5896720210078,-11.64046150093123,538.7080807998022]",,"[3.354083392705043,-6.793259506928829,-13.928387448957524]",15.855542471387606,"[6.744218342007103,3.749163142526444,-13.851264265330892]",179.82836392747134,2.0761651873095217,0.09981264892837771,2.0690569204076192,"[5.043039038250652,-4.089011658669614,-12.55125143825586]",1.0065268050002487,1.27111290799985,,,,,,[],,False,0
L03_10_wrist_charuco_20260915_103928_398335507,left,raw,FDP,warmup,False,accepted,True,available,55,0.40626585483551025,"[654.5896720210078,-11.64046150093123,538.7080807998022]",,"[3.354083392705043,-6.793259506928829,-13.928387448957524]",15.855542471387606,"[6.744218342007103,3.749163142526444,-13.851264265330892]",179.82836392747134,2.0761651873095217,0.09981264892837771,2.0690569204076192,"[5.043039038250652,-4.089011658669614,-12.55125143825586]",1.0166822430001048,1.2808833360013523,,,,,,[],,False,0
