frame_id,branch,original_time_s,exact_time_s,fast_time_median_s,fast_time_p95_s,original_x_m,original_y_m,original_z_m,original_roll_deg,original_pitch_deg,original_yaw_deg,exact_x_m,exact_y_m,exact_z_m,exact_roll_deg,exact_pitch_deg,exact_yaw_deg,fast_x_m,fast_y_m,fast_z_m,fast_roll_deg,fast_pitch_deg,fast_yaw_deg,exact_dx_mm,exact_dy_mm,exact_dz_mm,exact_center_delta_mm,exact_droll_deg,exact_dpitch_deg,exact_dyaw_deg,fast_dx_mm,fast_dy_mm,fast_dz_mm,fast_center_delta_mm,fast_droll_deg,fast_dpitch_deg,fast_dyaw_deg,fast_repeat_center_jitter_mm,fast_repeat_count
L01_wrist_charuco_20260915_093818_877801116,lingbot,6.058241620999979,4.155035081999813,2.7650915619999523,2.773488312800032,1.254490969573548,-0.05190691555649474,0.5033531662301559,5.753791455343981,2.4711570036098727,92.34731225540703,1.254490969573548,-0.05190691555649474,0.5033531662301559,5.753791455343981,2.4711570036098727,92.34731225540703,1.250065304065192,-0.052852110297609334,0.5156345164712668,4.1855618343310725,2.7264315093736236,90.46542417519902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4256655083561025,-0.9451947411145967,12.281350241110879,13.08860084330322,-1.5682296210129039,0.25527450576373667,-1.8818880802080002,0.0,5
L01_wrist_charuco_20260915_093818_877801116,raw,6.0921971640000265,4.1656738050005515,2.8032643049999706,2.8353190238000936,1.2573497843367438,-0.06296016192036175,0.5077201502707359,2.213052573760145,4.985355383617183,89.84564866931909,1.2573497843367438,-0.06296016192036175,0.5077201502707359,2.213052573760145,4.985355383617183,89.84564866931909,1.2562891637860256,-0.06430380511806849,0.5081694806554515,3.418143262076724,5.0317278905866605,89.58358950920515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0606205507182054,-1.3436431977067453,0.44933038471561826,1.7697996468465245,1.2050906883165737,0.046372506969476035,-0.2620591601139495,0.0,5
L02_wrist_charuco_20260915_100236_358935353,lingbot,6.231140050000249,4.1580883329988865,2.8637799409999616,2.866615809199993,0.7743584356065776,-0.02564987028230825,0.5210838209844535,3.140417162933582,-1.3342645975857264,92.26543790957952,0.7743584356065776,-0.02564987028230825,0.5210838209844535,3.140417162933582,-1.3342645975857264,92.26543790957952,0.7765047185618499,-0.031089363864695962,0.5260395461646918,3.51703339287854,-0.08317260845255862,92.08471525698066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.146282955272305,-5.439493582387711,4.955725180238346,7.665104892888153,0.3766162299449718,1.2510919891331582,-0.18072265259885967,0.0,5
L02_wrist_charuco_20260915_100236_358935353,raw,6.260991421999279,4.169272413000726,2.875185274000046,2.886118359400007,0.7756292601910679,-0.02004609039552485,0.5264300591669452,3.114971772749557,-0.17190303184398842,90.61168336489081,0.7756292601910679,-0.02004609039552485,0.5264300591669452,3.114971772749557,-0.17190303184398842,90.61168336489081,0.7740678425947367,-0.027577496481207442,0.523871551484336,2.8482062199925897,-0.9638011319026869,91.8794804953275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.561417596331216,-7.53140608568259,-2.5585076826092346,8.105927713689532,-0.266765552756965,-0.7918981000586882,1.2677971304366906,0.0,5
L03_00_wrist_charuco_20260915_104002_497962253,lingbot,6.253295540000181,4.179738524000641,2.8874807689999216,2.907751895399997,0.6548783292041083,-0.01618117317804696,0.5387726588484697,2.5043950875429903,1.1997762467132413,90.82714001354718,0.6548783292041083,-0.01618117317804696,0.5387726588484697,2.5043950875429903,1.1997762467132413,90.82714001354718,0.6604094667540555,-0.013742153364943166,0.539971154856925,2.8872726363915655,0.3511037384887689,90.35622933976725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.531137549947274,2.4390198131037932,1.1984960084553409,6.162685528844788,0.38287754884856895,-0.8486725082244675,-0.4709106737799402,0.0,5
L03_00_wrist_charuco_20260915_104002_497962253,raw,6.425750459999108,4.18371208499957,2.890363320000006,2.901906561200053,0.617537425800028,-0.08575832504440561,0.772705720583317,150.8618632459666,-60.24828193429634,114.99672189482658,0.617537425800028,-0.08575832504440561,0.772705720583317,150.8618632459666,-60.24828193429634,114.99672189482658,0.6707005347858453,-0.09428418454956466,0.7718392531798691,-117.834140175392,-11.09738498187599,7.014093311480601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.16310898581733,-8.525859505159051,-0.8664674034478681,53.849393711543684,91.30399657864143,49.15089695242034,-107.98262858334597,0.0,5
L03_10_wrist_charuco_20260915_103928_398335507,lingbot,6.515581346000545,4.170788473000357,2.8965589859999454,2.908204187199999,0.6675951731948053,-0.4227897814495051,0.5284240259633345,0.16715297232430812,2.0424255474450956,88.5876753949467,0.6675951731948053,-0.4227897814495051,0.5284240259633345,0.16715297232430812,2.0424255474450956,88.5876753949467,0.6639311943982917,-0.4204706590151238,0.51449586867706,-3.117814827659015,1.3452123654111325,87.82741718302647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6639787965135895,2.31912243438126,-13.928157286274502,14.587550681253967,-3.2849677999833204,-0.6972131820339769,-0.7602582119202452,0.0,5
L03_10_wrist_charuco_20260915_103928_398335507,raw,6.560488549001093,4.165436692001094,2.891392003999954,2.9083202117999463,0.6584186552878204,-0.409159316481858,0.5335730921404043,-2.184566293404647,-1.612273331364888,93.15059508527126,0.6584186552878204,-0.409159316481858,0.5335730921404043,-2.184566293404647,-1.612273331364888,93.15059508527126,0.6568587473764298,-0.41337795462047977,0.5352628741289398,-1.0814282328017812,-1.900116226085986,92.20792070554135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5599079113906011,-4.2186381386217775,1.6897819885355325,4.804745945982191,1.1031380606028733,-0.28784289472110913,-0.9426743797299082,0.0,5
L04_00_wrist_charuco_20260915_104435_858773771,lingbot,6.578315310000107,4.181792991001203,2.894336070999998,2.900440731399999,0.6971920160126206,0.024292008086300998,0.5316668071628601,4.5298600237961155,-1.3864062442434095,90.61056947032488,0.6971920160126206,0.024292008086300998,0.5316668071628601,4.5298600237961155,-1.3864062442434095,90.61056947032488,0.693261073836023,0.021848350741584366,0.5330726878112575,4.3493419639136475,-1.331189850983537,90.96228730533862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9309421765976182,-2.443657344716632,1.4058806483974173,4.837382351197795,-0.18051805988247338,0.055216393259883034,0.3517178350137442,0.0,5
L04_00_wrist_charuco_20260915_104435_858773771,raw,6.695435920999444,4.16099448299974,2.8981961189999765,2.9101685533999673,0.699483753485121,0.0240353763654092,0.5315181596172861,-0.08364059727253323,-2.0077286080130263,91.95799693828745,0.699483753485121,0.0240353763654092,0.5315181596172861,-0.08364059727253323,-2.0077286080130263,91.95799693828745,0.6976490101341581,0.026468351063513473,0.5360214612477011,4.25133622205076,-1.2247789043475192,90.90500585590613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8347433509628974,2.4329746981042732,4.503301630415013,5.437405136645296,4.334976819323288,0.7829497036655084,-1.0529910823813111,0.0,5
