capture,method,depth_used,camera_arm,board_reference_status,board_corners,formal_attempts,accepted_count,rejected_count,status_summary,reported_source,reported_delta_x_mm,reported_delta_y_mm,reported_delta_z_mm,reported_center_distance_mm,reported_yaw_delta_sym180_deg,formal_accepted_delta_x_mm,formal_accepted_delta_y_mm,formal_accepted_delta_z_mm,formal_accepted_center_distance_mm,formal_accepted_yaw_delta_sym180_deg,rejected_candidate_delta_x_mm,rejected_candidate_delta_y_mm,rejected_candidate_delta_z_mm,rejected_candidate_center_distance_mm,rejected_candidate_yaw_delta_sym180_deg,primary_time_s,time_p90_s,accepted_time_s,rejected_time_s,container_wall_median_s,rejection_reasons,fallback_triggered_count
L03_00_wrist_charuco_20260915_104002_497962253,RM,lingbot,left,available,65,5,0,5,rejected,rejected_candidate_diagnostic,5.851329319488174,-3.2288801823507387,-22.6786018302646,23.64281503993888,0.42268655773477803,,,,,,5.851329319488174,-3.2288801823507387,-22.6786018302646,23.64281503993888,0.42268655773477803,5.447529092998593,5.493499609000719,,5.447529092998593,6.482847500999924,"[""ambiguous_inner_outer_surface_hypotheses"",""visible_shell_residual_or_coverage_too_low""]",0
L03_00_wrist_charuco_20260915_104002_497962253,R1F,lingbot,left,available,65,5,0,5,rejected,rejected_candidate_diagnostic,5.851329319488174,-3.2288801823507387,-22.6786018302646,23.64281503993888,0.42268655773477803,,,,,,5.851329319488174,-3.2288801823507387,-22.6786018302646,23.64281503993888,0.42268655773477803,24.003837028998532,24.1753593661997,,24.003837028998532,25.034995160000108,"[""ambiguous_inner_outer_surface_hypotheses"",""visible_shell_residual_or_coverage_too_low""]",5
L03_10_wrist_charuco_20260915_103928_398335507,FDP,raw,left,available,55,5,5,0,accepted,formal_accepted,3.354083392705043,-6.793259506928829,-13.928387448957524,15.855542471387606,0.09981264892837771,3.354083392705043,-6.793259506928829,-13.928387448957524,15.855542471387606,0.09981264892837771,,,,,,1.2759885380000924,1.288926865999747,1.2759885380000924,,,[],0
L03_10_wrist_charuco_20260915_103928_398335507,V5-original,lingbot,left,available,55,5,0,5,rejected,rejected_candidate_diagnostic,7.084076718693377,-10.59925142001223,-21.395470569049223,24.905710881081397,0.8645256989644281,,,,,,7.084076718693377,-10.59925142001223,-21.395470569049223,24.905710881081397,0.8645256989644281,24.157934497001406,24.284157899401908,,24.157934497001406,24.98402192299909,"[""ambiguous_inner_outer_surface_hypotheses"",""visible_shell_residual_or_coverage_too_low""]",0
L03_10_wrist_charuco_20260915_103928_398335507,BCM,lingbot,left,available,55,5,0,5,rejected,rejected_candidate_diagnostic,7.084076718693377,-10.59925142001223,-21.395470569049223,24.905710881081397,0.8645256989644281,,,,,,7.084076718693377,-10.59925142001223,-21.395470569049223,24.905710881081397,0.8645256989644281,23.969288860000233,24.157007475799766,,23.969288860000233,25.03047783099828,"[""ambiguous_inner_outer_surface_hypotheses"",""visible_shell_residual_or_coverage_too_low""]",0
L03_10_wrist_charuco_20260915_103928_398335507,R1,lingbot,left,available,55,5,0,5,rejected,rejected_candidate_diagnostic,6.640022604101348,-8.566099599409528,-20.812595299470882,23.465551040398314,0.7262512357392268,,,,,,6.640022604101348,-8.566099599409528,-20.812595299470882,23.465551040398314,0.7262512357392268,1.2271180089992413,1.2341437634000614,,1.2271180089992413,2.2219583529986267,"[""ambiguous_inner_outer_surface_hypotheses"",""visible_shell_residual_or_coverage_too_low""]",0
L03_10_wrist_charuco_20260915_103928_398335507,RM,lingbot,left,available,55,5,0,5,rejected,rejected_candidate_diagnostic,7.082303692382719,-10.429395693921794,-22.067142853875566,25.414368256261728,0.9855521033472314,,,,,,7.082303692382719,-10.429395693921794,-22.067142853875566,25.414368256261728,0.9855521033472314,6.211066131996631,6.229643777999445,,6.211066131996631,7.235356323002634,"[""ambiguous_inner_outer_surface_hypotheses"",""visible_shell_residual_or_coverage_too_low""]",0
L03_10_wrist_charuco_20260915_103928_398335507,R1F,lingbot,left,available,55,5,0,5,rejected,rejected_candidate_diagnostic,7.084076718693377,-10.59925142001223,-21.395470569049223,24.905710881081397,0.8645256989644281,,,,,,7.084076718693377,-10.59925142001223,-21.395470569049223,24.905710881081397,0.8645256989644281,25.22531687599985,25.26827431300044,,25.22531687599985,26.24006376699981,"[""ambiguous_inner_outer_surface_hypotheses"",""visible_shell_residual_or_coverage_too_low""]",5
L04_00_wrist_charuco_20260915_104435_858773771,FDP,raw,left,available,78,5,5,0,accepted,formal_accepted,1.0020478755897733,1.4390772826933518,-11.623206662129238,11.754742722880138,0.8099713525251957,1.0020478755897733,1.4390772826933518,-11.623206662129238,11.754742722880138,0.8099713525251957,,,,,,1.1773650630002521,1.1873905923999701,1.1773650630002521,,,[],0
L04_00_wrist_charuco_20260915_104435_858773771,V5-original,lingbot,left,available,78,5,0,5,rejected,rejected_candidate_diagnostic,4.062227237669247,-5.129306506306431,-13.853409085407776,15.320849149239677,0.07967431317942442,,,,,,4.062227237669247,-5.129306506306431,-13.853409085407776,15.320849149239677,0.07967431317942442,21.06409805700241,21.305425176997232,,21.06409805700241,21.873272607997933,"[""ambiguous_inner_outer_surface_hypotheses""]",0
L04_00_wrist_charuco_20260915_104435_858773771,BCM,lingbot,left,available,78,5,0,5,rejected,rejected_candidate_diagnostic,4.062227237669247,-5.129306506306431,-13.853409085407776,15.320849149239677,0.07967431317942442,,,,,,4.062227237669247,-5.129306506306431,-13.853409085407776,15.320849149239677,0.07967431317942442,20.971554292998917,21.13989202859957,,20.971554292998917,22.024361389998376,"[""ambiguous_inner_outer_surface_hypotheses""]",0
L04_00_wrist_charuco_20260915_104435_858773771,R1,lingbot,left,available,78,5,0,5,rejected,rejected_candidate_diagnostic,4.893820023209594,-5.357302568255843,-13.937275915328673,15.712982694810316,0.6754118651875842,,,,,,4.893820023209594,-5.357302568255843,-13.937275915328673,15.712982694810316,0.6754118651875842,1.2761809439980425,1.2876174393990367,,1.2761809439980425,2.2746857610000006,"[""ambiguous_inner_outer_surface_hypotheses""]",0
L04_00_wrist_charuco_20260915_104435_858773771,RM,lingbot,left,available,78,5,0,5,rejected,rejected_candidate_diagnostic,4.062227237669247,-5.129306506306431,-13.853409085407776,15.320849149239677,0.07967431317942442,,,,,,4.062227237669247,-5.129306506306431,-13.853409085407776,15.320849149239677,0.07967431317942442,5.29343876999701,5.312920612599555,,5.29343876999701,6.332289304998994,"[""ambiguous_inner_outer_surface_hypotheses""]",0
