frame,group,accepted,algorithm_s,center_vs_baseline_mm,yaw_vs_baseline_deg,center_vs_FDP_mm,yaw_vs_FDP_deg,rim_vs_FDP_mm,short_edge_max_vs_FDP_mm,reasons,best_sources
D01,BCM,True,4.168890579021536,0.0,0.0,14.364639421428691,1.1749191634477265,16.439064442024012,22.35433501354908,,['C_multiplane_joint']
D01,CM,True,2.377071683993563,0.0,0.0,14.364639421428691,1.1749191634477265,16.439064442024012,22.35433501354908,,['C_multiplane_joint']
D01,BM,True,3.4702328520361334,0.15105214027846295,0.1432420223773893,14.217807339905292,1.3181611858251159,16.295644937928923,22.566441963205857,,['B_rim']
D01,M,False,1.9850606149993837,13.896712466753142,76.48675709962171,13.700274873175438,75.31183793617399,16.56633078558051,257.32840905174373,visible_shell_residual_or_coverage_too_low;ambiguous_inner_outer_surface_hypotheses,['mesh_coarse_projection']
D02,BCM,True,4.431868601008318,0.0,0.0,12.348526392034088,0.4752722048219229,12.716360982245671,18.93855340791082,,['B_rim']
D02,CM,False,2.296499075018801,0.6046508485682159,0.056429422503978796,11.984545068145124,0.4188427823179441,12.283904588328111,18.46326735466806,ambiguous_inner_outer_surface_hypotheses,['C_multiplane_rival']
D02,BM,True,3.5356344680767506,0.0,0.0,12.348526392034088,0.4752722048219229,12.716360982245671,18.93855340791082,,['B_rim']
D02,M,False,1.6192046590149403,12.461039211977424,78.7254397070022,22.174707367625945,78.25016750218026,20.71781723351317,272.3947679370775,visible_shell_residual_or_coverage_too_low;ambiguous_inner_outer_surface_hypotheses,['mesh_coarse_projection']
D03,BCM,False,4.7716062479885295,0.0,0.0,10.119902895409474,0.3141421944623421,10.334401105530956,14.733434909818891,ambiguous_inner_outer_surface_hypotheses,['B_rim']
D03,CM,False,2.7911591910524294,0.4739268414450399,0.21876018724704693,10.52061027176034,0.09538200721529515,10.685681150712337,14.640951385383815,ambiguous_inner_outer_surface_hypotheses,['C_multiplane_joint']
D03,BM,False,3.85110424796585,0.0,0.0,10.119902895409474,0.3141421944623421,10.334401105530956,14.733434909818891,ambiguous_inner_outer_surface_hypotheses,['B_rim']
