capture,method,depth_used,camera_arm,board_reference_status,board_corners,formal_attempts,accepted_count,reference_scorable,status_summary,delta_x_mm,delta_y_mm,delta_z_mm,center_distance_mm,yaw_delta_sym180_deg,rotation_delta_sym180_deg,primary_time_s,time_p90_s,container_wall_median_s,time_definition,rejection_reasons,fallback_triggered_count
L04_00_wrist_charuco_20260915_104435_858773771,FDP,raw,left,available,78,5,5,5,accepted,1.0020478755897733,1.4390772826933518,-11.623206662129238,11.754742722880138,0.8099713525251957,2.1918366524609736,1.1773650630002521,1.1873905923999701,,FDP完整客户端时间,[],0
L04_00_wrist_charuco_20260915_104435_858773771,V5-original,lingbot,left,available,78,5,0,0,rejected,,,,,,,21.06409805700241,21.305425176997232,21.873272607997933,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
L04_00_wrist_charuco_20260915_104435_858773771,BCM,lingbot,left,available,78,5,0,0,rejected,,,,,,,20.971554292998917,21.13989202859957,22.024361389998376,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
L04_00_wrist_charuco_20260915_104435_858773771,R1,lingbot,left,available,78,5,0,0,rejected,,,,,,,1.2761809439980425,1.2876174393990367,2.2746857610000006,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
L04_00_wrist_charuco_20260915_104435_858773771,RM,lingbot,left,available,78,5,0,0,rejected,,,,,,,5.29343876999701,5.312920612599555,6.332289304998994,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
L04_00_wrist_charuco_20260915_104435_858773771,R1F,lingbot,left,available,78,5,0,0,rejected,,,,,,,22.186490878997574,22.369731935398885,23.22603040100148,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",5
L04_10_wrist_charuco_20260915_104717_786588568,FDP,raw,left,available,77,5,5,5,accepted,3.4154760267975925,-4.653217871127685,-8.846550592283453,10.563113671055607,0.6404795956989915,2.173648013906419,1.1789033019995259,1.193954899000164,,FDP完整客户端时间,[],0
L04_10_wrist_charuco_20260915_104717_786588568,V5-original,lingbot,left,available,77,5,5,5,accepted,4.399743957288593,-7.200842860839138,-9.765700371441643,12.906540533426101,0.4135093229847371,1.6519002347871279,21.405542167998647,21.580449700000464,22.22482049500104,S1 Docker后端时间,[],0
L04_10_wrist_charuco_20260915_104717_786588568,BCM,lingbot,left,available,77,5,5,5,accepted,4.399743957288593,-7.200842860839138,-9.765700371441643,12.906540533426101,0.4135093229847371,1.6519002347871279,21.193111132000922,21.277747465397262,22.228759910998633,S1 Docker后端时间,[],0
L04_10_wrist_charuco_20260915_104717_786588568,R1,lingbot,left,available,77,5,5,5,accepted,4.445548628054796,-5.490098836306693,-8.255905969782429,10.865729207867512,0.34845852981646885,1.6369740463845863,0.9863496869984374,0.9987885461974656,1.9712080960016465,S1 Docker后端时间,[],0
L04_10_wrist_charuco_20260915_104717_786588568,RM,lingbot,left,available,77,5,5,5,accepted,4.445548628054796,-5.490098836306693,-8.255905969782429,10.865729207867512,0.34845852981646885,1.6369740463845863,8.358679256998585,8.412158185199951,9.391330829999788,S1 Docker后端时间,[],0
L04_10_wrist_charuco_20260915_104717_786588568,R1F,lingbot,left,available,77,5,5,5,accepted,4.445548628054796,-5.490098836306693,-8.255905969782429,10.865729207867512,0.34845852981646885,1.6369740463845863,0.9846411210019141,0.999491516600392,2.020999610002036,S1 Docker后端时间,[],0
L04_wrist_charuco_20260915_104358_532673829,FDP,raw,left,available,71,5,5,5,accepted,1.6942877740117046,-2.421034165670827,-9.970053733977746,10.398749393600875,0.31355848497531724,1.8106319216534628,1.1956623240002955,1.2778885664010886,,FDP完整客户端时间,[],0
L04_wrist_charuco_20260915_104358_532673829,V5-original,lingbot,left,available,71,5,0,0,rejected,,,,,,,22.15574007200121,22.407567295397165,22.975993511001434,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
L04_wrist_charuco_20260915_104358_532673829,BCM,lingbot,left,available,71,5,0,0,rejected,,,,,,,22.242704752999998,22.454681331001485,23.27697001499837,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
L04_wrist_charuco_20260915_104358_532673829,R1,lingbot,left,available,71,5,0,0,rejected,,,,,,,0.887633073998586,0.8966376580014185,1.9211510950008233,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
L04_wrist_charuco_20260915_104358_532673829,RM,lingbot,left,available,71,5,0,0,rejected,,,,,,,5.42247749300077,5.498526285401022,6.434073996999359,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
L04_wrist_charuco_20260915_104358_532673829,R1F,lingbot,left,available,71,5,0,0,rejected,,,,,,,22.866294176001247,23.07250832560094,23.879858677999437,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",5
R01_wrist_charuco_20260915_093900_967150252,FDP,raw,left,unavailable,3,5,5,0,accepted,,,,,,,1.2648465480015147,1.273087332999421,,FDP完整客户端时间,[],0
R01_wrist_charuco_20260915_093900_967150252,V5-original,lingbot,left,unavailable,3,5,0,0,rejected,,,,,,,11.386017635002645,11.454663037598948,12.197901040999568,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
R01_wrist_charuco_20260915_093900_967150252,BCM,lingbot,left,unavailable,3,5,0,0,rejected,,,,,,,11.213621902999876,11.245603507600753,12.248894311000186,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
R01_wrist_charuco_20260915_093900_967150252,R1,lingbot,left,unavailable,3,5,0,0,rejected,,,,,,,0.9663521239999682,0.9749257665993355,1.9714724900004512,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
R01_wrist_charuco_20260915_093900_967150252,RM,lingbot,left,unavailable,3,5,0,0,rejected,,,,,,,3.6474159120007243,3.688735320599517,4.678470456001378,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",0
R01_wrist_charuco_20260915_093900_967150252,R1F,lingbot,left,unavailable,3,5,0,0,rejected,,,,,,,12.071729752002284,12.138786009400064,13.101024103998498,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses""]",5
R01_wrist_charuco_20260915_094033_680788016,FDP,raw,right,available,9,5,5,5,accepted,2.3142703567459177,5.33330003468499,2.860007384858698,6.479164975946367,1.5008324110586386,1.6732353362796701,1.373163960999591,5.818751944999895,,FDP完整客户端时间,[],0
R01_wrist_charuco_20260915_094033_680788016,V5-original,lingbot,right,available,9,5,5,5,accepted,-6.447393714958616,-3.4389546770772874,0.7497182032654148,7.345568212942218,0.433194488171182,1.2228043512246154,14.860237570002937,14.950390618600796,15.659432576001564,S1 Docker后端时间,[],0
R01_wrist_charuco_20260915_094033_680788016,BCM,lingbot,right,available,9,5,5,5,accepted,-6.447393714958616,-3.4389546770772874,0.7497182032654148,7.345568212942218,0.433194488171182,1.2228043512246154,14.736162572000467,14.788468955799908,15.763634281996929,S1 Docker后端时间,[],0
R01_wrist_charuco_20260915_094033_680788016,R1,lingbot,right,available,9,5,5,5,accepted,-5.696488344045902,-1.3214104483816393,0.058457457213667574,5.848035764361131,0.5964797400353632,1.2903854706594888,0.8467422139983682,0.8512232374014275,1.8712857450009324,S1 Docker后端时间,[],0
R01_wrist_charuco_20260915_094033_680788016,RM,lingbot,right,available,9,5,5,5,accepted,-6.447393714958616,-3.4389546770772874,0.7497182032654148,7.345568212942218,0.433194488171182,1.2228043512246154,4.848245436998695,4.886977603199921,5.881451597997511,S1 Docker后端时间,[],0
R01_wrist_charuco_20260915_094033_680788016,R1F,lingbot,right,available,9,5,5,5,accepted,-5.696488344045902,-1.3214104483816393,0.058457457213667574,5.848035764361131,0.5964797400353632,1.2903854706594888,0.8379787410012796,0.854296542400698,1.8722017529980803,S1 Docker后端时间,[],0
R02_wrist_charuco_20260915_100308_809523978,FDP,raw,right,available,77,5,5,5,accepted,0.6285555626894812,6.075337531521341,5.761991860668725,8.39674689506075,0.871661588596055,1.7812502522196938,1.3770533489987429,1.3865263452004002,,FDP完整客户端时间,[],0
R02_wrist_charuco_20260915_100308_809523978,V5-original,lingbot,right,available,77,5,5,5,accepted,-5.512039729730467,1.048441695724293,-2.04421856325554,5.97165316355688,0.043659326009759525,2.798668073934895,19.025307882999186,19.064116286801436,19.86803081099788,S1 Docker后端时间,[],0
R02_wrist_charuco_20260915_100308_809523978,BCM,lingbot,right,available,77,5,5,5,accepted,-5.512039729730467,1.048441695724293,-2.04421856325554,5.97165316355688,0.043659326009759525,2.798668073934895,18.851627337000536,18.949057497199828,19.868127243000345,S1 Docker后端时间,[],0
R02_wrist_charuco_20260915_100308_809523978,R1,lingbot,right,available,77,5,5,5,accepted,-4.872773730169144,2.333131501055758,-1.856306322878809,5.712556309657267,0.3053248114104292,2.8175250716929807,0.8837520669985679,0.8903807686008804,1.9211597860012262,S1 Docker后端时间,[],0
R02_wrist_charuco_20260915_100308_809523978,RM,lingbot,right,available,77,5,5,5,accepted,-5.512039729730467,1.048441695724293,-2.04421856325554,5.97165316355688,0.043659326009759525,2.798668073934895,5.57240140200156,5.594139578199974,6.586558726001385,S1 Docker后端时间,[],0
R02_wrist_charuco_20260915_100308_809523978,R1F,lingbot,right,available,77,5,5,5,accepted,-4.872773730169144,2.333131501055758,-1.856306322878809,5.712556309657267,0.3053248114104292,2.8175250716929807,0.894316374000482,0.8970882334011548,1.9225850110015017,S1 Docker后端时间,[],0
R03_wrist_charuco_20260915_103743_184821162,FDP,raw,right,available,100,5,5,5,accepted,5.409227912335113,4.084375060192713,3.1023414571554886,7.454286602800777,1.321758026935271,1.4158290168644427,1.371174402998804,16.15483883800007,,FDP完整客户端时间,[],0
R03_wrist_charuco_20260915_103743_184821162,V5-original,lingbot,right,available,100,5,0,0,rejected,,,,,,,24.244225432998064,24.597699934201227,25.032620730999042,S1 Docker后端时间,"[""mask_touches_image_border"",""visible_shell_residual_or_coverage_too_low""]",0
R03_wrist_charuco_20260915_103743_184821162,BCM,lingbot,right,available,100,5,0,0,rejected,,,,,,,24.368948690000252,24.45033516840049,25.381371813997248,S1 Docker后端时间,"[""mask_touches_image_border"",""visible_shell_residual_or_coverage_too_low""]",0
R03_wrist_charuco_20260915_103743_184821162,R1,lingbot,right,available,100,5,0,0,rejected,,,,,,,1.1045561780010758,1.1243932506004057,2.1234492790026707,S1 Docker后端时间,"[""ambiguous_inner_outer_surface_hypotheses"",""mask_touches_image_border""]",0
