frame,group,accepted,algorithm_s,center_vs_baseline_mm,yaw_vs_baseline_deg,center_vs_FDP_mm,yaw_vs_FDP_deg,rim_vs_FDP_mm,short_edge_max_vs_FDP_mm,reasons,best_sources
D01,BCM,True,14.588616668999975,0.0,0.0,14.364639421722567,1.174919163490244,16.43906444304987,22.354335014745836,,['C_multiplane_joint']
D01,CM,True,7.209642917999986,0.0,0.0,14.364639421722567,1.174919163490244,16.43906444304987,22.354335014745836,,['C_multiplane_joint']
D01,BM,True,11.436907740000038,0.15105214089751476,0.14324202234405709,14.217807339886493,1.3181611858343012,16.29564493791893,22.56644196322618,,['B_rim']
D01,M,False,4.385743988000058,13.893729233510257,76.48366653742812,13.70360710521924,75.30874737393789,16.568584832235807,257.3179287771609,visible_shell_residual_or_coverage_too_low;ambiguous_inner_outer_surface_hypotheses,['mesh_coarse_projection']
D02,BCM,True,15.90862129200002,0.0,0.0,12.348526395158192,0.47527220650709523,12.716360984869514,18.93855340525676,,['B_rim']
D02,CM,False,7.4452418790000365,0.6046508457242624,0.05642942419160655,11.984545068172146,0.4188427823154887,12.283904588326779,18.46326735465029,ambiguous_inner_outer_surface_hypotheses,['C_multiplane_rival']
D02,BM,True,12.131422985000086,0.0,0.0,12.348526395158192,0.47527220650709523,12.716360984869514,18.93855340525676,,['B_rim']
D02,M,False,4.08768050499998,12.461039194941359,78.72543970861302,22.174707348198535,78.25016750210591,20.717817212226812,272.3947679196459,visible_shell_residual_or_coverage_too_low;ambiguous_inner_outer_surface_hypotheses,['mesh_coarse_projection']
D03,BCM,False,16.601801259000013,0.0,0.0,10.119903040684433,0.31414215272350315,10.33440120089221,14.733434794056093,ambiguous_inner_outer_surface_hypotheses,['B_rim']
D03,CM,False,8.821605754000075,0.47392680212033655,0.21876014437166863,10.52061027481989,0.09538200835183457,10.685681153334103,14.640951390613436,ambiguous_inner_outer_surface_hypotheses,['C_multiplane_joint']
D03,BM,False,12.607423452000035,0.0,0.0,10.119903040684433,0.31414215272350315,10.33440120089221,14.733434794056093,ambiguous_inner_outer_surface_hypotheses,['B_rim']
D03,M,False,5.44672566700001,16.488416710844415,75.04854289939782,19.01496862928117,75.36268505212131,20.80843167953445,252.26894652888421,visible_shell_residual_or_coverage_too_low;ambiguous_inner_outer_surface_hypotheses,['mesh_coarse_projection']
D04,BCM,True,14.081097447000047,0.0,0.0,11.283609751046402,1.1365534845041756,12.002796613609888,20.45387635572795,,['mesh_coarse_projection']
